sid,case,feature,align,win_start,win_end,win_center_ms,win_center_stim_aligned_ms,peak_time_ms,peak_time_stim_aligned_ms,win_len_ms,reaction_time_ms
20200926,case_iii,C,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,233.60000000014222,-10.000000009313226,218.59999999082902,50.0,228.60000000014224
20200926,case_iii,S,sacc,-60.00000000000003,39.99999999999998,-10.000000000000025,218.60000000014222,10.000000009313226,238.60000000945547,100.0,228.60000000014224
20200926,case_iv,C,stim,180.0,229.99999999999997,205.0,205.0,219.9999988079071,219.9999988079071,49.99999999999997,228.60000000014224
20200926,case_iv,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,233.60000000014222,-10.000000009313226,218.59999999082902,50.0,228.60000000014224
20200926,case_v,C,stim,279.99999999999994,329.99999999999994,304.99999999999994,304.99999999999994,289.99999165534973,289.99999165534973,50.0,228.60000000014224
20200926,case_v,S,sacc,-2.0816681711721685e-14,49.99999999999998,24.99999999999998,253.60000000014222,49.999999813735485,278.59999981387773,50.0,228.60000000014224
20200926,case_vi,C,stim,300.0,350.0,325.0,325.0,349.9999940395355,349.9999940395355,50.0,228.60000000014224
20200926,case_vi,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,233.60000000014222,-10.000000009313226,218.59999999082902,50.0,228.60000000014224
20200929,case_i,C,sacc,-60.00000000000003,-10.000000000000023,-35.00000000000003,195.30000000022707,-40.0000000372529,190.2999999629742,50.00000000000001,230.3000000002271
20200929,case_i,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,235.30000000022707,-10.000000009313226,220.29999999091388,50.0,230.3000000002271
20200929,case_ii,C,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,235.30000000022707,0.0,230.3000000002271,50.0,230.3000000002271
20200929,case_ii,S,sacc,-2.0816681711721685e-14,49.99999999999998,24.99999999999998,255.30000000022707,20.000000251457095,250.3000002516842,50.0,230.3000000002271
20200929,case_iii,C,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,235.30000000022707,0.0,230.3000000002271,50.0,230.3000000002271
20200929,case_iii,S,sacc,-2.0816681711721685e-14,49.99999999999998,24.99999999999998,255.30000000022707,40.0000000372529,270.30000003748,50.0,230.3000000002271
20200929,case_iv,C,stim,140.0,190.0,165.0,165.0,149.99999850988388,149.99999850988388,50.0,230.3000000002271
20200929,case_iv,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,235.30000000022707,-10.000000009313226,220.29999999091388,50.0,230.3000000002271
20200929,case_v,C,stim,259.99999999999994,309.99999999999994,284.99999999999994,284.99999999999994,289.99999165534973,289.99999165534973,50.0,230.3000000002271
20200929,case_v,S,sacc,-2.0816681711721685e-14,49.99999999999998,24.99999999999998,255.30000000022707,20.000000251457095,250.3000002516842,50.0,230.3000000002271
20200929,case_vi,C,stim,360.00000000000006,410.00000000000006,385.00000000000006,385.00000000000006,379.9999952316284,379.9999952316284,50.0,230.3000000002271
20200929,case_vi,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,235.30000000022707,-10.000000009313226,220.29999999091388,50.0,230.3000000002271
20201001,case_i,C,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,238.28749999996032,20.000000251457095,253.28750025141744,50.0,233.28749999996035
20201001,case_i,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,238.28749999996032,10.000000009313226,243.28750000927357,50.0,233.28749999996035
20201001,case_ii,C,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,238.28749999996032,20.000000251457095,253.28750025141744,50.0,233.28749999996035
20201001,case_ii,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,238.28749999996032,10.000000009313226,243.28750000927357,50.0,233.28749999996035
